time,BTCUSDT,ETHUSDT,BTCDOWNUSDT,BTCUPUSDT
1669755144.9633763,16466.74,1219.97,0.045616,2.697
1669755204.8339195,16473.13,1221.32,0.045616,2.697
1669755265.0063856,16469.63,1220.71,0.045616,2.695
1669755325.8210676,16477.48,1221.45,0.045617,2.695
1669755385.0734549,16479.42,1221.61,0.045617,2.695
1669755445.5462658,16491.07,1222.41,0.0456,2.7
1669755504.8972845,16481.26,1222.0,0.0456,2.7
1669755565.544467,16493.99,1222.42,0.0456,2.7
1669755624.9880955,16495.74,1222.49,0.0456,2.705
1669755684.831033,16489.0,1221.67,0.045617,2.705
1669755744.897357,16490.9,1221.99,0.045617,2.705
1669755804.9530826,16496.08,1222.1,0.045617,2.705
1669755865.807919,16492.85,1222.23,0.045617,2.705
1669755924.817041,16486.65,1221.73,0.045615,2.705
1669755985.6319673,16485.16,1221.88,0.045615,2.705
1669756045.0293725,16475.59,1221.32,0.045615,2.705
1669756105.027495,16477.54,1221.37,0.045615,2.705
1669756164.8905747,16481.51,1222.1,0.045614,2.705
1669756224.9977918,16476.14,1221.84,0.045614,2.705
1669756284.8830566,16479.91,1222.45,0.045614,2.705
1669756344.9881527,16491.46,1224.44,0.045546,2.705
1669756406.895718,16490.37,1223.72,0.04556,2.698
1669756465.460352,16488.04,1223.24,0.04556,2.701
1669756584.9748864,16482.97,1221.62,0.045521,2.702
1669756644.945456,16481.04,1221.47,0.04556,2.702
1669756704.8188455,16484.16,1221.21,0.045516,2.702
1669756765.0077114,16484.11,1221.16,0.045516,2.702
1669756825.034103,16486.16,1221.48,0.045516,2.702
1669756884.9788816,16484.0,1221.28,0.04556,2.702
1669756945.498345,16480.51,1220.94,0.04556,2.7
1669757004.991186,16478.81,1220.53,0.04556,2.695
1669757065.8890417,16488.2,1221.92,0.045521,2.694
1669757125.0607307,16480.16,1220.89,0.045521,2.694
1669757184.9873483,16478.62,1220.85,0.045521,2.694
1669757244.839192,16479.8,1220.98,0.045521,2.697
1669757305.047165,16478.33,1220.79,0.045521,2.698
1669757365.050285,16476.62,1220.61,0.045606,2.698
1669757424.998209,16478.68,1220.61,0.045607,2.698
1669757485.4227614,16476.66,1220.26,0.045607,2.694
1669757548.1838424,16479.34,1220.69,0.045606,2.694
1669757605.7948017,16478.83,1220.46,0.045606,2.694
1669757665.0942152,16477.33,1220.24,0.045606,2.694
1669757725.159439,16476.8,1220.12,0.045606,2.694
1669757785.071042,16478.44,1220.06,0.045607,2.694
1669757845.1286206,16468.69,1219.67,0.045615,2.693
1669757905.044411,16470.87,1220.01,0.045647,2.693
1669757964.837327,16472.94,1220.21,0.045675,2.693
1669758025.6460276,16468.1,1219.92,0.045675,2.693
1669758088.268148,16468.15,1219.81,0.045672,2.69
1669758145.7277424,16469.51,1220.3,0.04568,2.69
1669758204.9821236,16471.34,1220.5,0.045698,2.69
1669758264.844735,16469.67,1220.4,0.045704,2.69
1669758324.954964,16473.53,1220.79,0.045704,2.69
1669758385.0393093,16468.54,1220.45,0.045728,2.691
1669758444.843433,16465.49,1220.06,0.045733,2.694
1669758504.957948,16467.08,1219.78,0.045691,2.694
1669758565.281329,16470.79,1219.99,0.045719,2.694
1669758625.082229,16462.92,1219.79,0.045719,2.694
1669758685.6580813,16461.98,1219.58,0.045719,2.694
1669758745.1966565,16461.98,1219.39,0.045719,2.694
1669758804.9536974,16457.27,1219.01,0.045719,2.693
1669758864.8336158,16459.76,1219.12,0.045609,2.693
1669758925.0072422,16463.62,1220.15,0.045677,2.688
1669758984.9858315,16461.08,1219.46,0.045677,2.685
1669759044.966852,16461.6,1219.12,0.045678,2.688
1669759105.378466,16464.41,1219.37,0.045659,2.692
1669759165.051986,16462.82,1219.62,0.045659,2.695
1669759225.6491282,16465.36,1219.46,0.045659,2.695
1669759284.9111154,16462.7,1219.74,0.045659,2.691
1669759345.0228462,16459.71,1219.35,0.045678,2.691
1669759405.0711672,16461.14,1219.08,0.045678,2.696
1669759465.0728617,16464.72,1219.54,0.045678,2.696
1669759525.0216455,16464.69,1219.63,0.045678,2.696
1669759585.1091864,16463.73,1219.58,0.045754,2.691
1669759645.1426632,16466.42,1220.22,0.04568,2.691
1669759705.0273263,16469.88,1221.18,0.045767,2.691
1669759765.6730027,16467.17,1220.37,0.045693,2.691
1669759825.16415,16471.99,1220.73,0.045693,2.691
1669759885.3730297,16477.78,1221.48,0.045685,2.7
1669759945.198167,16486.94,1222.11,0.04568,2.7
1669760005.1425805,16481.4,1221.02,0.045662,2.701
1669760064.8971298,16473.52,1219.89,0.045662,2.701
1669760124.9565349,16471.81,1219.58,0.045662,2.701
1669760184.996266,16467.76,1219.15,0.045662,2.699
1669760244.9546869,16461.53,1218.3,0.045662,2.698
1669760305.9173684,16461.92,1218.58,0.045763,2.698
1669760364.9455185,16462.66,1218.38,0.045775,2.698
1669760425.5474422,16461.87,1217.72,0.045788,2.698
1669760485.13939,16464.96,1217.96,0.045775,2.698
1669760545.0868888,16465.44,1218.47,0.045775,2.698
1669760604.986616,16467.06,1218.62,0.045775,2.694
1669760664.9913695,16461.91,1217.44,0.045775,2.694
1669760725.06683,16462.5,1217.46,0.045775,2.694
1669760785.0340824,16467.54,1218.34,0.045775,2.694
1669760845.7612784,16468.56,1218.58,0.045775,2.699
1669760905.1250265,16470.86,1218.94,0.045775,2.699
1669760965.5320933,16477.18,1219.1,0.045775,2.699
1669761025.0521002,16480.93,1219.21,0.045662,2.699
1669761084.9107332,16472.54,1218.27,0.045658,2.701
1669761144.9672556,16470.57,1218.35,0.045658,2.701
1669761205.1593072,16473.22,1218.46,0.045658,2.7
1669761265.2244728,16473.3,1218.56,0.04569,2.7
1669761325.0139892,16472.95,1218.34,0.045673,2.7
1669761386.0676053,16477.08,1219.21,0.045673,2.7
1669761444.9525914,16473.73,1218.78,0.045673,2.7
1669761505.6334963,16474.67,1218.8,0.045673,2.7
1669761564.901235,16476.86,1219.13,0.045673,2.696
1669761624.9590762,16473.11,1218.97,0.045673,2.696
1669761685.3405318,16471.99,1218.29,0.045675,2.696
1669761745.0835702,16469.16,1217.88,0.045665,2.696
1669761805.1885026,16471.77,1218.89,0.045665,2.696
1669761865.0459263,16473.02,1219.04,0.045665,2.696
1669761926.223082,16476.11,1219.52,0.045665,2.701
1669761985.0844042,16478.14,1220.42,0.045665,2.701
1669762045.668645,16474.75,1220.25,0.04565,2.701
1669762105.127407,16471.77,1219.85,0.04565,2.696
1669762165.1528769,16466.08,1219.16,0.04565,2.696
1669762224.989832,16469.09,1219.59,0.0456,2.696
1669762285.119555,16469.77,1219.76,0.0456,2.696
1669762345.3489478,16484.99,1221.99,0.045564,2.696
1669762405.0652945,16480.45,1221.51,0.04556,2.696
1669762466.1019056,16476.47,1220.73,0.045545,2.696
