Time,Price,Price Change,MACD,MACD Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Total Balance
1668327146.614254,0.044414,0.0,-1.908e-05,0.0,0.0,1.0,0.0,21328.35223284109,947.2774360694044
1668327206.1203291,0.044414,0.0,-1.908e-05,0.0,0.0,1.0,0.0,21328.35223284109,947.2774360694044
1668327266.1740828,0.044414,0.0,-1.908e-05,0.0,0.0,1.0,0.0,21328.35223284109,947.2774360694044
1668327326.5282848,0.044414,0.0,-1.078e-05,8.3e-06,0.0,1.0,0.0,21328.35223284109,947.2774360694044
1668327386.0013056,0.044414,0.0,-1.078e-05,0.0,0.0,1.0,0.0,21328.35223284109,947.2774360694044
1668327446.0436718,0.044425,1.0999999999997123e-05,-3.27e-06,7.51e-06,0.0,1.0,0.0,21328.35223284109,947.5120479439654
1668327506.0585544,0.044493,6.799999999999862e-05,1.183e-05,1.51e-05,0.0,1.0,0.0,21328.35223284109,948.9623758957986
1668327566.1630783,0.044494,1.000000000001e-06,1.191e-05,7.999999999999923e-08,0.0,1.0,0.0,21328.35223284109,948.9837042480316
1668327626.269693,0.0445,5.999999999999062e-06,2.67e-05,1.479e-05,0.0,1.0,0.0,21328.35223284109,949.1116743614284
1668327686.0772123,0.0445,0.0,2.67e-05,0.0,0.0,1.0,0.0,21328.35223284109,949.1116743614284
1668327746.0111516,0.044498,-1.9999999999950613e-06,3.004e-05,3.340000000000002e-06,0.0,1.0,0.0,21328.35223284109,949.069017656963
1668327806.4967752,0.0445,1.9999999999950613e-06,3.337e-05,3.3300000000000003e-06,0.0,1.0,0.0,21328.35223284109,949.1116743614284
1668327866.025982,0.04462,0.00012,5.028e-05,1.691e-05,0.0,1.0,0.0,21328.35223284109,951.6710766293696
1668327926.208144,0.044642,2.2000000000001185e-05,5.203e-05,1.750000000000002e-06,0.0,1.0,0.0,21328.35223284109,952.140300378492
1668327986.1232202,0.04462,-2.2000000000001185e-05,6.4e-05,1.1969999999999996e-05,0.0,1.0,0.0,21328.35223284109,951.6710766293696
1668328046.0376277,0.04463,1.0000000000003062e-05,6.48e-05,8.000000000000059e-07,0.0,1.0,0.0,21328.35223284109,951.884360151698
1668328106.5253215,0.04463,0.0,6.851e-05,3.710000000000003e-06,0.0,1.0,0.0,21328.35223284109,951.884360151698
1668328170.4344225,0.0446,-3.0000000000002247e-05,6.991e-05,1.3999999999999934e-06,0.0,1.0,0.0,21328.35223284109,951.2445095847128
1668328229.6602318,0.044588,-1.1999999999998123e-05,6.756e-05,-2.350000000000003e-06,1.0,0.0,950.9885693579188,0.0,950.9885693579188
1668328289.6428664,0.044528,-6.0000000000004494e-05,6.016e-05,-7.399999999999997e-06,1.0,0.0,950.9885693579188,0.0,950.9885693579188
1668328349.571097,0.04452,-8.000000000001062e-06,5.305e-05,-7.109999999999998e-06,1.0,0.0,950.9885693579188,0.0,950.9885693579188
1668328409.4578078,0.044532,1.2000000000005062e-05,4.782e-05,-5.230000000000002e-06,1.0,0.0,950.9885693579188,0.0,950.9885693579188
1668328469.4681594,0.044521,-1.1000000000004062e-05,4.261e-05,-5.209999999999999e-06,1.0,0.0,950.9885693579188,0.0,950.9885693579188
1668328529.4449668,0.04462,9.900000000000186e-05,5.051e-05,7.900000000000002e-06,0.0,1.0,0.0,21313.05623841145,950.9885693579188
1668328589.7269642,0.044522,-9.800000000000086e-05,4.391e-05,-6.6000000000000046e-06,1.0,0.0,948.8998898465544,0.0,948.8998898465544
1668328650.3003483,0.044521,-1.000000000001e-06,3.816e-05,-5.7499999999999975e-06,1.0,0.0,948.8998898465544,0.0,948.8998898465544
1668328709.8377132,0.044524,3.0000000000030003e-06,2.94e-05,-8.76e-06,1.0,0.0,948.8998898465544,0.0,948.8998898465544
1668328769.5161698,0.044533,9.000000000002062e-06,3.012e-05,7.199999999999999e-07,0.0,1.0,0.0,21307.791746492585,948.8998898465544
1668328829.5663228,0.044524,-9.000000000002062e-06,2.643e-05,-3.69e-06,1.0,0.0,948.7081197208358,0.0,948.7081197208358
1668328889.678421,0.044524,0.0,2.049e-05,-5.940000000000001e-06,1.0,0.0,948.7081197208358,0.0,948.7081197208358
1668328949.7019608,0.044524,0.0,1.809e-05,-2.3999999999999974e-06,1.0,0.0,948.7081197208358,0.0,948.7081197208358
1668329009.5421858,0.044524,0.0,1.809e-05,0.0,1.0,0.0,948.7081197208358,0.0,948.7081197208358
1668329069.5641503,0.044598,7.399999999999768e-05,2.293e-05,4.839999999999998e-06,0.0,1.0,0.0,21272.43642586744,948.7081197208358
1668329131.067332,0.044535,-6.300000000000056e-05,1.79e-05,-5.029999999999998e-06,1.0,0.0,947.3679562260064,0.0,947.3679562260064
1668329189.8540692,0.044535,0.0,1.79e-05,0.0,1.0,0.0,947.3679562260064,0.0,947.3679562260064
1668329249.8130858,0.044535,0.0,1.79e-05,0.0,1.0,0.0,947.3679562260064,0.0,947.3679562260064
1668329309.7164242,0.044604,6.899999999999962e-05,2.181e-05,3.909999999999998e-06,0.0,1.0,0.0,21239.52910559605,947.3679562260064
1668329369.6781516,0.044604,0.0,2.181e-05,0.0,0.0,1.0,0.0,21239.52910559605,947.3679562260062
1668329429.637888,0.044604,0.0,2.181e-05,0.0,0.0,1.0,0.0,21239.52910559605,947.3679562260062
1668329489.7330246,0.044604,0.0,2.181e-05,0.0,0.0,1.0,0.0,21239.52910559605,947.3679562260062
1668329549.6621313,0.044535,-6.899999999999962e-05,1.912e-05,-2.69e-06,1.0,0.0,945.90242871772,0.0,945.90242871772
1668329610.8311074,0.044647,0.000112,2.573e-05,6.609999999999999e-06,0.0,1.0,0.0,21186.248319432885,945.90242871772
1668329669.6670814,0.044647,0.0,2.573e-05,0.0,0.0,1.0,0.0,21186.248319432885,945.90242871772
1668329729.828589,0.044757,0.0001099999999999,3.939e-05,1.366e-05,0.0,1.0,0.0,21186.248319432885,948.2329160328576
1668329789.6999888,0.044639,-0.000118,3.549e-05,-3.9e-06,1.0,0.0,945.7329387311644,0.0,945.7329387311644
1668329849.6561744,0.04477,0.0001309999999999,5.807e-05,2.258e-05,0.0,1.0,0.0,21124.255946642046,945.7329387311644
1668329909.6858542,0.044889,0.000119,8.388e-05,2.5810000000000005e-05,0.0,1.0,0.0,21124.255946642046,948.2467251888148
1668329969.906486,0.044976,8.700000000000374e-05,0.00010654,2.2660000000000003e-05,0.0,1.0,0.0,21124.255946642046,950.0845354561728
