Time,Price,RSI,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668696782.0,1195.31,57.69208244,0.5769208244,0.4230791755999999,577.6200041967011,0.3543782886303035,1001.2119163793892
1668696842.0,1194.92,55.51775032,0.5551775031999999,0.4448224968000001,555.7736021967431,0.3726610205286381,1001.0737088468234
1668696919.0,1194.07,50.83478506,0.5083478506,0.4916521494,508.7326429699829,0.4120564992080792,1000.756946979374
1668696965.0,1194.7,54.02922593,0.5402922593,0.4597077407,540.8414893839137,0.3851804245333233,1001.0165425738752
1668697025.0,1194.47,52.09772467,0.5209772467,0.4790227533,521.4606880967679,0.4014058645084971,1000.9279510762324
1668697086.0,1193.81,48.86104066,0.4886104066,0.5113895934,488.9343666381012,0.4286516753650544,1000.6630232056568
1668697146.0,1194.21,50.87850848,0.5087850848,0.4912149152,509.2096577495145,0.4116736806142037,1000.8344838758028
1668697206.0,1193.1,45.43353657,0.4543353657,0.5456646343,454.50688915430726,0.4575229544346775,1000.3775260903208
1668697267.0,1192.29,41.86405763,0.4186405762999999,0.5813594237,418.64347852463504,0.4876023903350643,1000.0069324972288
1668697327.0,1191.68,39.37837762,0.3937837762,0.6062162238,393.6693800595016,0.5085594412758649,999.7094950391244
1668697387.0,1191.04,36.81660518,0.3681660518,0.6318339481999999,367.9392677697021,0.5301625043886065,999.3840169967076
1668697449.0,1189.61,31.9578698,0.319578698,0.6804213020000001,319.13955999449803,0.5711841062372829,998.625884615432
1668697509.0,1192.33,46.47598803,0.4647598803,0.5352401197,464.8433072009658,0.4489832497575602,1000.1795053843975
1668697569.0,1193.17,50.39628027,0.5039628026999999,0.4960371973,504.2433342564277,0.4159619476334187,1000.556651314194
1668697630.0,1194.18,54.24758993,0.5424758993,0.4575241007,543.0057750471971,0.3835024852485443,1000.9767728813038
1668697689.0,1194.83,56.68029344,0.5668029344,0.4331970656,567.4978628524577,0.3630040981932638,1001.2260494967152
1668697749.0,1195.09,57.63675031,0.5763675031,0.4236324969,577.1285563661781,0.3549455473613427,1001.3204305622452
1668697811.0,1194.65,55.44324482,0.5544324481999999,0.4455675518000001,555.0779486846311,0.3734033447761061,1001.1642545214064
1668697870.0,1194.19,53.13544376,0.5313544376,0.4686455624,531.8818010252849,0.3928275131742222,1000.9924889828092
1668697930.0,1195.02,56.3252195,0.563252195,0.436747805,563.9948631940936,0.3659551075502085,1001.3185358187438
1668697991.0,1194.58,54.05027243,0.5405027243,0.4594972757,541.128364619773,0.3850969804882457,1001.1575155714216
1668698051.0,1195.62,58.43242413,0.5843242413,0.4156757586999999,585.2346280690526,0.348207112930594,1001.5580164311292
1668698111.0,1196.01,59.97148004,0.5997148004,0.4002851996,600.730607647114,0.335250716597736,1001.6938172051724
1668698172.0,1195.66,57.89960564,0.5789960564,0.4210039436,579.9088317870717,0.3526651787860188,1001.5764794543628
1668698232.0,1199.4,69.87587075,0.6987587075,0.3012412925,700.7819264591938,0.2518872109086449,1002.8954472230226
1668698292.0,1201.32,73.96969182,0.7396969181999999,0.2603030818,742.1964063594752,0.2174130658846035,1003.379070667967
1668698353.0,1208.93,75.37847924,0.7537847924000001,0.2462152075999999,757.5790315453557,0.2046889005599937,1005.0335840993488
1668698413.0,1209.35,75.82227252,0.7582227252,0.2417772748,762.1044869592521,0.2009468445680175,1005.119553437584
1668698473.0,1212.66,78.89983042,0.7889983042000001,0.2110016957999999,793.5624128223862,0.1750055866200897,1005.7846874931042
1668698534.0,1213.53,79.63347011,0.7963347011,0.2036652988999999,801.0624943144934,0.1688252025404977,1005.9369423534636
1668698594.0,1215.0,80.84533499,0.8084533499,0.1915466501,813.4537271656167,0.1586266569840176,1006.185115401198
1668698654.0,1214.45,78.9498281,0.7894982810000001,0.2105017189999999,794.3125394668773,0.174387855632574,1006.0978707398568
1668698715.0,1215.0,79.49462454,0.7949462454,0.2050537545999999,799.8699707836769,0.169813838087883,1006.1937840604548
1668698775.0,1212.98,72.46143375,0.7246143374999999,0.2753856625000001,728.85388215918,0.2283606308004561,1005.8507601075172
1668698835.0,1210.43,64.65392714,0.6465392713999999,0.3534607286000001,649.9455250816222,0.2935509822272696,1005.268440498976
1668698896.0,1212.53,67.75186026,0.6775186026,0.3224813974,681.5057301724155,0.267522591102272,1005.8848975616534
1668698956.0,1213.34,68.80585218,0.6880585218,0.3119414781999999,692.2567733880671,0.258661889884434,1006.1015908604462
1668699016.0,1213.45,69.03427913,0.6903427913,0.3096572087,694.5746227567882,0.256751758137167,1006.1300436683337
1668699077.0,1209.56,57.82184852,0.5782184852000001,0.4217815147999999,581.1854857608566,0.3504958774829883,1005.13127932918
1668699137.0,1210.95,60.3124991,0.6031249909999999,0.396875009,606.5136298231341,0.3295799486153411,1005.6184685988812
1668699197.0,1210.29,58.55781304,0.5855781304,0.4144218696,588.74080616316,0.3442647131428297,1005.4009458327952
1668699258.0,1210.59,59.1427105,0.591427105,0.408572895,594.6824530029461,0.3393566543947925,1005.504225246738
1668699318.0,1208.29,52.97022405,0.5297022405,0.4702977594999999,532.2043975910423,0.3910644856372126,1004.72370494163
1668699378.0,1208.03,52.3052042,0.523052042,0.476947958,525.4696032753059,0.3966395080420672,1004.6220281753642
