Time,Price,Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1669779504.9180174,16922.18,-2.590000000000145,0.0,1.0,0.0,0.0612148164666839,1035.8881429161893
1669779564.8542612,16920.68,-1.5,0.0,1.0,0.0,0.0612148164666839,1035.796320691489
1669779624.92317,16910.88,-9.799999999999272,0.0,1.0,0.0,0.0612148164666839,1035.1964154901154
1669779684.8468385,16904.97,-5.909999999999855,0.0,1.0,0.0,0.0612148164666839,1034.834635924797
1669779744.8338065,16908.85,3.8799999999973807,1.0,0.0,1035.0721494126878,0.0,1035.0721494126878
1669779804.9304893,16895.31,-13.539999999997235,0.0,1.0,0.0,0.061263874377723,1035.0721494126878
1669779864.885468,16902.34,7.029999999998836,1.0,0.0,1035.502834449563,0.0,1035.502834449563
1669779924.91731,16902.32,-0.0200000000004365,0.0,1.0,0.0,0.0612639468693979,1035.502834449563
1669779984.897174,16894.07,-8.25,0.0,1.0,0.0,0.0612639468693979,1034.997406887889
1669780044.9217308,16903.46,9.389999999999418,1.0,0.0,1035.5726753489926,0.0,1035.5726753489926
1669823148.0219052,16838.74,-8.979999999999563,0.0,1.0,0.0,0.0614994159508961,1035.5726753489926
1669823208.0855849,16842.69,3.9499999999970896,1.0,0.0,1035.815598041998,0.0,1035.815598041998
1669823268.0923266,16841.48,-1.2099999999991269,0.0,1.0,0.0,0.0615038344635981,1035.815598041998
1669823327.982465,16852.33,10.850000000002185,1.0,0.0,1036.4829146459283,0.0,1036.4829146459283
1669823388.005144,16852.0,-0.3300000000017462,0.0,1.0,0.0,0.0615050388467795,1036.4829146459283
1669823448.096613,16854.34,2.340000000000145,1.0,0.0,1036.6268364368295,0.0,1036.6268364368295
1669823508.107774,16856.81,2.470000000001164,1.0,0.0,1036.6268364368295,0.0,1036.6268364368295
1669823568.0490088,16857.23,0.4199999999982537,1.0,0.0,1036.6268364368295,0.0,1036.6268364368295
1669823628.0645645,16854.94,-2.290000000000873,0.0,1.0,0.0,0.0615028493982671,1036.6268364368295
1669823688.06596,16856.06,1.1200000000026191,1.0,0.0,1036.6957196281542,0.0,1036.6957196281542
1669823748.112149,16852.69,-3.37000000000262,0.0,1.0,0.0,0.061515148004749,1036.6957196281542
1669823808.0802968,16854.95,2.2600000000020373,1.0,0.0,1036.8347438626442,0.0,1036.8347438626442
1669823868.1370833,16855.45,0.5,1.0,0.0,1036.8347438626442,0.0,1036.8347438626442
1669823928.11525,16859.46,4.009999999998399,1.0,0.0,1036.8347438626442,0.0,1036.8347438626442
1669823988.057413,16866.25,6.790000000000873,1.0,0.0,1036.8347438626442,0.0,1036.8347438626442
1669824048.1244366,16874.87,8.619999999998981,1.0,0.0,1036.8347438626442,0.0,1036.8347438626442
1669824108.0859408,16855.63,-19.239999999997963,0.0,1.0,0.0,0.0615126663235158,1036.8347438626442
1669824168.1270366,16852.12,-3.5100000000020373,0.0,1.0,0.0,0.0615126663235158,1036.618834403847
1669824228.054565,16857.65,5.530000000002474,1.0,0.0,1036.9589994486162,0.0,1036.9589994486162
1669824288.1394525,16849.88,-7.770000000000437,0.0,1.0,0.0,0.0615410317134968,1036.9589994486162
1669824348.242813,16850.7,0.819999999999709,1.0,0.0,1037.0094630946203,0.0,1037.0094630946203
1669824408.0917037,16853.65,2.950000000000728,1.0,0.0,1037.0094630946203,0.0,1037.0094630946203
1669824468.2646456,16857.59,3.9399999999986894,1.0,0.0,1037.0094630946203,0.0,1037.0094630946203
1669824528.0562282,16849.82,-7.770000000000437,0.0,1.0,0.0,0.0615442457601695,1037.0094630946203
1669824588.1275826,16854.59,4.770000000000437,1.0,0.0,1037.3030291468954,0.0,1037.3030291468954
1669824648.116829,16861.07,6.479999999999563,1.0,0.0,1037.3030291468954,0.0,1037.3030291468954
1669824708.1487164,16876.83,15.760000000002035,1.0,0.0,1037.3030291468954,0.0,1037.3030291468954
1669824768.1370442,16861.05,-15.780000000002474,0.0,1.0,0.0,0.0615206662187049,1037.3030291468954
1669824828.10053,16869.28,8.229999999999563,1.0,0.0,1037.809344229874,0.0,1037.809344229874
1669824888.1993852,16865.32,-3.959999999999127,0.0,1.0,0.0,0.0615351113545354,1037.809344229874
