Time,Price,Price Change,Momentum,Momentum Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Total Balance
1668327027.5007994,16753.75,-5.25,-8.29,7.700000000000001,0.0,1.0,0.0,0.0597422632471136,1000.9069428763306
1668327086.0831196,16749.87,-3.880000000001018,-28.72,-20.43,1.0,0.0,1000.6751428949306,0.0,1000.6751428949306
1668327146.6364613,16755.29,5.420000000001892,-28.44,0.2799999999999976,0.0,1.0,0.0,0.0597229378241099,1000.6751428949306
1668327206.1402829,16754.7,-0.5900000000001455,-35.23,-6.789999999999996,1.0,0.0,1000.6399063616142,0.0,1000.6399063616142
1668327266.197094,16745.71,-8.9900000000016,-42.32,-7.090000000000003,1.0,0.0,1000.6399063616142,0.0,1000.6399063616142
1668327326.5495744,16745.24,-0.4699999999975262,-33.67,8.649999999999999,0.0,1.0,0.0,0.0597566775012847,1000.6399063616142
1668327386.023961,16726.32,-18.92000000000189,-45.48,-11.809999999999995,1.0,0.0,999.5093100232884,0.0,999.5093100232884
1668327446.06667,16726.66,0.3400000000001455,-43.56,1.9199999999999944,0.0,1.0,0.0,0.0597554628373679,999.5093100232884
1668327506.0810883,16732.35,5.68999999999869,-25.76,17.8,0.0,1.0,0.0,0.0597554628373679,999.8493186068326
1668327566.185927,16728.51,-3.8400000000001455,-24.49,1.2700000000000031,0.0,1.0,0.0,0.0597554628373679,999.6198576295373
1668327626.298607,16727.1,-1.4099999999998545,-22.77,1.7199999999999989,0.0,1.0,0.0,0.0597554628373679,999.5356024269364
1668327686.100322,16727.47,0.3700000000026193,-27.82,-5.050000000000001,1.0,0.0,999.5577119481864,0.0,999.5577119481864
1668327746.032177,16727.34,-0.1300000000010186,-28.34,-0.5199999999999996,1.0,0.0,999.5577119481864,0.0,999.5577119481864
1668327806.5218425,16724.05,-3.290000000000873,-22.69,5.649999999999999,0.0,1.0,0.0,0.0597676825857484,999.5577119481864
1668327866.0483952,16722.59,-1.4599999999991269,-22.65,0.0400000000000027,0.0,1.0,0.0,0.0597676825857484,999.4704511316104
1668327926.2346332,16712.99,-9.599999999998545,-13.33,9.32,0.0,1.0,0.0,0.0597676825857484,998.8966813787872
1668327986.1451893,16725.4,12.409999999999854,-0.2,13.13,0.0,1.0,0.0,0.0597676825857484,999.6383983196764
1668328046.0630028,16727.61,2.209999999999127,-5.35,-5.15,1.0,0.0,999.7704848981908,0.0,999.7704848981908
1668328106.547145,16739.05,11.43999999999869,10.54,15.89,0.0,1.0,0.0,0.0597268354475427,999.7704848981908
1668328170.4596827,16723.27,-15.779999999998836,-3.83,-14.37,1.0,0.0,998.8279954348276,0.0,998.8279954348276
1668328229.686648,16723.33,0.0600000000013096,-3.08,0.75,0.0,1.0,0.0,0.0597266211594716,998.8279954348276
1668328289.6684055,16732.88,9.549999999999272,5.55,8.629999999999999,0.0,1.0,0.0,0.0597266211594716,999.3983846668992
1668328349.5913649,16730.55,-2.3300000000017462,7.23,1.6800000000000006,0.0,1.0,0.0,0.0597266211594716,999.2592216395976
1668328409.485065,16725.54,-5.009999999998399,4.14,-3.0900000000000007,1.0,0.0,998.9599912675887,0.0,998.9599912675887
1668328469.4939568,16733.09,7.549999999999272,20.1,15.96,0.0,1.0,0.0,0.0596996724016657,998.9599912675887
1668328529.4702628,16731.37,-1.7200000000011642,5.97,-14.130000000000004,1.0,0.0,998.8573078310576,0.0,998.8573078310576
1668328589.7510655,16735.21,3.8400000000001455,7.44,1.4700000000000006,0.0,1.0,0.0,0.0596859739334646,998.8573078310576
1668328650.328558,16735.17,-0.0400000000008731,-3.89,-11.33,1.0,0.0,998.8549203920986,0.0,998.8549203920986
1668328709.86637,16739.1,3.930000000000291,15.83,19.72,0.0,1.0,0.0,0.0596719608815347,998.8549203920986
1668328769.5430737,16731.04,-8.059999999997672,7.71,-8.120000000000001,1.0,0.0,998.3739643873924,0.0,998.3739643873924
1668328829.592203,16717.51,-13.530000000002474,-15.37,-23.08,1.0,0.0,998.3739643873924,0.0,998.3739643873924
1668328889.7081275,16725.94,8.430000000000291,-5.59,9.78,0.0,1.0,0.0,0.0596901557931806,998.3739643873924
1668328949.728303,16734.39,8.450000000000728,9.59,15.18,0.0,1.0,0.0,0.0596901557931806,998.8783462038434
1668329009.5677123,16730.38,-4.009999999998399,-2.71,-12.3,1.0,0.0,998.6389886791128,0.0,998.6389886791128
1668329069.5922542,16711.4,-18.979999999999563,-20.82,-18.11,1.0,0.0,998.6389886791128,0.0,998.6389886791128
1668329131.089219,16712.17,0.7699999999967986,-23.04,-2.219999999999999,1.0,0.0,998.6389886791128,0.0,998.6389886791128
1668329189.878735,16723.52,11.350000000002185,-11.65,11.39,0.0,1.0,0.0,0.0597146407382604,998.6389886791128
1668329249.8517215,16707.4,-16.11999999999898,-31.93,-20.28,1.0,0.0,997.6763886704118,0.0,997.6763886704118
1668329309.7378664,16701.21,-6.190000000002328,-28.97,2.960000000000001,0.0,1.0,0.0,0.0597367728847437,997.6763886704118
1668329369.7048762,16701.26,0.0499999999992724,-16.22,12.75,0.0,1.0,0.0,0.0597367728847437,997.6793755090544
1668329429.6654844,16697.18,-4.079999999998108,-27.91,-11.69,1.0,0.0,997.4356494756848,0.0,997.4356494756848
1668329489.7573414,16699.79,2.610000000000582,-34.6,-6.690000000000001,1.0,0.0,997.4356494756848,0.0,997.4356494756848
1668329549.6839273,16692.0,-7.790000000000873,-38.94,-4.339999999999996,1.0,0.0,997.4356494756848,0.0,997.4356494756848
1668329610.8524415,16685.63,-6.369999999998981,-25.77,13.169999999999998,0.0,1.0,0.0,0.0597781234197141,997.4356494756848
1668329669.7001529,16675.53,-10.100000000002185,-36.64,-10.87,1.0,0.0,996.831890429145,0.0,996.831890429145
1668329729.8515265,16678.23,2.700000000000728,-45.29,-8.649999999999999,1.0,0.0,996.831890429145,0.0,996.831890429145
1668329789.7220778,16682.74,4.510000000002037,-25.12,20.17,0.0,1.0,0.0,0.0597522883188939,996.831890429145
1668329849.681474,16661.38,-21.360000000000586,-39.83,-14.709999999999996,1.0,0.0,995.5555815506524,0.0,995.5555815506524
1668329909.735408,16644.64,-16.7400000000016,-57.04,-17.21,1.0,0.0,995.5555815506524,0.0,995.5555815506524
1668329969.9307358,16647.5,2.860000000000582,-49.68,7.359999999999999,0.0,1.0,0.0,0.059802107316453,995.5555815506524
1668330029.9771743,16650.89,3.389999999999418,-48.9,0.7800000000000011,0.0,1.0,0.0,0.059802107316453,995.758310694454
1668330090.739847,16650.15,-0.7399999999979627,-42.77,6.129999999999996,0.0,1.0,0.0,0.059802107316453,995.71405713504
1668330149.6051269,16670.27,20.11999999999898,-14.59,28.180000000000003,0.0,1.0,0.0,0.059802107316453,996.917275534247
1668330209.8334727,16669.99,-0.2799999999988358,-6.17,8.42,0.0,1.0,0.0,0.059802107316453,996.9005309441984
1668330269.789734,16652.76,-17.2300000000032,-25.47,-19.3,1.0,0.0,995.8701406351358,0.0,995.8701406351358
1668330329.726529,16632.25,-20.5099999999984,-50.49,-25.020000000000003,1.0,0.0,995.8701406351358,0.0,995.8701406351358
1668330389.837456,16584.68,-47.56999999999971,-75.02,-24.53,1.0,0.0,995.8701406351358,0.0,995.8701406351358
1668330449.7881532,16439.24,-145.4399999999987,-205.4,-130.38,1.0,0.0,995.8701406351358,0.0,995.8701406351358
1668330509.626284,16493.09,53.84999999999855,-152.97,52.43000000000001,0.0,1.0,0.0,0.0603810529521839,995.8701406351358
1668330570.40913,16504.9,11.81000000000131,-145.46,7.509999999999991,0.0,1.0,0.0,0.0603810529521839,996.5832408705002
1668330629.76383,16481.92,-22.9800000000032,-168.69,-23.22999999999999,1.0,0.0,995.1956842736588,0.0,995.1956842736588
1668330689.7361112,16467.07,-14.849999999998545,-203.8,-35.110000000000014,1.0,0.0,995.1956842736588,0.0,995.1956842736588
1668330749.6510427,16501.82,34.75,-168.17,35.630000000000024,0.0,1.0,0.0,0.0603082377746005,995.1956842736588
1668330810.1647956,16498.02,-3.799999999999272,-156.07,12.099999999999994,0.0,1.0,0.0,0.0603082377746005,994.9665129701146
1668330869.9644282,16514.86,16.840000000000146,-116.06,40.00999999999999,0.0,1.0,0.0,0.0603082377746005,995.9821036942388
1668330929.6103592,16516.3,1.4399999999986903,-67.77,48.290000000000006,0.0,1.0,0.0,0.0603082377746005,996.0689475566344
1668330989.8031044,16543.98,27.68000000000029,104.74,172.51,0.0,1.0,0.0,0.0603082377746005,997.7382795782352
1668331050.3327289,16549.62,5.639999999999418,58.29,-46.45,1.0,0.0,998.078418039284,0.0,998.078418039284
1668331109.7693317,16565.16,15.540000000000871,60.31,2.020000000000003,0.0,1.0,0.0,0.0602516618034044,998.078418039284
1668331169.988955,16541.82,-23.340000000000146,59.37,-0.9400000000000048,1.0,0.0,996.6721442527908,0.0,996.6721442527908
1668331229.7777786,16525.31,-16.5099999999984,58.24,-1.1299999999999957,1.0,0.0,996.6721442527908,0.0,996.6721442527908
1668331289.7452347,16531.5,6.18999999999869,29.68,-28.56,1.0,0.0,996.6721442527908,0.0,996.6721442527908
1668331349.6479957,16535.76,4.259999999998399,39.29,9.61,0.0,1.0,0.0,0.0602737427401456,996.6721442527908
1668331409.7969964,16550.18,14.420000000001892,35.32,-3.969999999999999,1.0,0.0,997.541291623103,0.0,997.541291623103
1668331469.6662793,16536.17,-14.010000000002035,19.87,-15.45,1.0,0.0,997.541291623103,0.0,997.541291623103
1668331530.0274465,16549.28,13.110000000000582,7.07,-12.8,1.0,0.0,997.541291623103,0.0,997.541291623103
1668331590.0112095,16537.58,-11.69999999999709,-12.05,-19.12,1.0,0.0,997.541291623103,0.0,997.541291623103
1668331650.1636589,16528.34,-9.2400000000016,-36.82,-24.77,1.0,0.0,997.541291623103,0.0,997.541291623103
1668331709.9951162,16517.11,-11.229999999999563,-23.47,13.35,0.0,1.0,0.0,0.0603944207929294,997.541291623103
1668331769.7538178,16500.01,-17.100000000002183,-24.78,-1.3100000000000025,1.0,0.0,996.5085470275428,0.0,996.5085470275428
1668331829.815581,16484.54,-15.469999999997526,-46.3,-21.52,1.0,0.0,996.5085470275428,0.0,996.5085470275428
1668331889.825304,16480.94,-3.600000000002183,-55.78,-9.480000000000004,1.0,0.0,996.5085470275428,0.0,996.5085470275428
1668331949.7697136,16502.29,21.350000000002183,-47.89,7.890000000000001,0.0,1.0,0.0,0.0603860765401373,996.5085470275428
1668332009.8778377,16516.44,14.149999999997815,-18.89,29.0,0.0,1.0,0.0,0.0603860765401373,997.3630100105852
1668332069.8189478,16521.49,5.05000000000291,-27.79,-8.899999999999999,1.0,0.0,997.6679596971132,0.0,997.6679596971132
1668332129.9080567,16520.84,-0.6500000000014552,-17.76,10.029999999999998,0.0,1.0,0.0,0.0603884523848129,997.6679596971132
1668332190.033806,16527.5,6.659999999999855,-0.83,16.930000000000003,0.0,1.0,0.0,0.0603884523848129,998.0701467899952
1668332250.0249758,16522.13,-5.369999999998981,5.02,5.85,0.0,1.0,0.0,0.0603884523848129,997.7458608006888
1668332309.923171,16521.94,-0.1900000000023283,21.93,16.91,0.0,1.0,0.0,0.0603884523848129,997.7343869947356
1668332369.8056717,16535.95,14.010000000002035,51.42,29.49,0.0,1.0,0.0,0.0603884523848129,998.5804292126468
1668332429.8537593,16519.15,-16.799999999999272,38.21,-13.21,1.0,0.0,997.565903212582,0.0,997.565903212582
1668332489.7224417,16512.57,-6.580000000001746,10.29,-27.92,1.0,0.0,997.565903212582,0.0,997.565903212582
1668332549.822027,16533.81,21.2400000000016,15.18,4.890000000000001,0.0,1.0,0.0,0.0603349078774088,997.565903212582
1668332609.844987,16560.02,26.209999999999127,38.53,23.35,0.0,1.0,0.0,0.0603349078774088,999.1472811480472
1668332670.037279,16559.06,-0.9599999999991268,39.88,1.3500000000000014,0.0,1.0,0.0,0.0603349078774088,999.089359636485
1668332729.7934058,16562.02,2.959999999999127,33.2,-6.68,1.0,0.0,999.267950963802,0.0,999.267950963802
1668332789.7890148,16558.79,-3.2299999999995634,35.5,2.299999999999997,0.0,1.0,0.0,0.0603466769591136,999.267950963802
1668332849.8800154,16558.5,-0.2900000000008731,36.56,1.0600000000000025,0.0,1.0,0.0,0.0603466769591136,999.2504504274826
1668332909.7778895,16555.52,-2.9799999999995634,19.57,-16.990000000000002,1.0,0.0,999.0706173301444,0.0,999.0706173301444
1668332969.9344356,16542.92,-12.600000000002185,23.77,4.199999999999999,0.0,1.0,0.0,0.0603926403156241,999.0706173301444
1668333030.536333,16538.7,-4.219999999997526,26.31,2.539999999999999,0.0,1.0,0.0,0.0603926403156241,998.8157603880124
1668333090.1210003,16547.42,8.719999999997526,14.34,-11.97,1.0,0.0,999.3423842115644,0.0,999.3423842115644
1668333150.044556,16534.82,-12.599999999998545,-25.2,-39.54,1.0,0.0,999.3423842115644,0.0,999.3423842115644
